study_id,study_group_representative,intervention_and_participants_defined,outcome_assessed_for_60pct,follow_up_length_reported,outcome_assessors_blinded,outcome_definition_objective_precise,important_prognostic_factors_accounted_for,analysis_described_and_effect_quantified,all_8_criteria_assessed_by_mulder2019,note
Aricò 1994,yes,no,yes,yes,yes,yes,no,yes,True,
Ballauff 1999,yes,no,yes,yes,yes,yes,no,yes,True,
Bessho 1994,unclear,yes,yes,yes,yes,yes,review_not_assessed,review_not_assessed,False,Mulder 2019 did not assess criteria 7 and 8 for this study because it did not report risk-factor analyses.
Bresters 2008,no,yes,yes,yes,yes,yes,no,yes,True,
Chotsampancharoen 2009,no,no,unclear,yes,yes,no,no,yes,True,
Delvecchio 2017,unclear,no,yes,no,yes,no,no,yes,True,
El-Rashedy 2017,unclear,yes,yes,no,yes,no,no,yes,True,
French 2012,no,no,yes,yes,yes,yes,review_not_assessed,review_not_assessed,False,Mulder 2019 did not assess criteria 7 and 8 for this study because it did not report risk-factor analyses.
Frisk 1998,yes,yes,yes,yes,yes,no,review_not_assessed,review_not_assessed,False,Mulder 2019 did not assess criteria 7 and 8 for this study because it did not report risk-factor analyses.
Green 2019,no,yes,yes,yes,yes,yes,yes,yes,True,
Guido 1991,unclear,yes,no,yes,yes,no,review_not_assessed,review_not_assessed,False,Mulder 2019 did not assess criteria 7 and 8 for this study because it did not report risk-factor analyses.
Gunn 2016,unclear,no,yes,no,yes,no,no,yes,True,
Hudson 2013,no,yes,yes,yes,yes,yes,no,yes,True,
Hyodo 2012,unclear,yes,yes,yes,yes,no,no,yes,True,
Jagt 2009,unclear,no,yes,no,yes,yes,review_not_assessed,review_not_assessed,False,Mulder 2019 did not assess criteria 7 and 8 for this study because it did not report risk-factor analyses.
Landier 2012,unclear,yes,yes,yes,yes,yes,review_not_assessed,review_not_assessed,False,Mulder 2019 did not assess criteria 7 and 8 for this study because it did not report risk-factor analyses.
Locasciulli 1983,unclear,yes,yes,yes,yes,yes,no,yes,True,
Locasciulli 1985,unclear,yes,no,yes,yes,yes,review_not_assessed,review_not_assessed,False,Mulder 2019 did not assess criteria 7 and 8 for this study because it did not report risk-factor analyses.
Locasciulli 1991a,no,no,yes,yes,yes,yes,no,yes,True,
Locasciulli 1997a,yes,no,yes,yes,unclear,yes,no,yes,True,
Locasciulli 1997b,yes,yes,yes,yes,yes,yes,review_not_assessed,review_not_assessed,False,Mulder 2019 did not assess criteria 7 and 8 for this study because it did not report risk-factor analyses.
Matsuzaki 2001,unclear,yes,yes,no,yes,no,review_not_assessed,review_not_assessed,False,Mulder 2019 did not assess criteria 7 and 8 for this study because it did not report risk-factor analyses.
Mulder 2013,no,yes,yes,yes,yes,yes,yes,yes,True,
Ratner 1986,unclear,yes,yes,yes,unclear,yes,review_not_assessed,review_not_assessed,False,Mulder 2019 did not assess criteria 7 and 8 for this study because it did not report risk-factor analyses.
Rossetti 1991,unclear,yes,yes,yes,yes,yes,no,yes,True,
Schempp 2016,unclear,no,unclear,yes,yes,no,no,no,True,
Seth 2017,unclear,no,unclear,yes,yes,no,review_not_assessed,review_not_assessed,False,Mulder 2019 did not assess criteria 7 and 8 for this study because it did not report risk-factor analyses.
Skou 2014,no,yes,yes,yes,yes,yes,review_not_assessed,review_not_assessed,False,Mulder 2019 did not assess criteria 7 and 8 for this study because it did not report risk-factor analyses.
Stringer 1995,yes,no,yes,yes,yes,no,review_not_assessed,review_not_assessed,False,Mulder 2019 did not assess criteria 7 and 8 for this study because it did not report risk-factor analyses.
Tefft 1970,unclear,no,yes,yes,yes,no,no,yes,True,
Tomita 2011,unclear,yes,yes,yes,unclear,no,no,yes,True,
Vora 2006,unclear,no,yes,yes,unclear,no,review_not_assessed,review_not_assessed,False,Mulder 2019 did not assess criteria 7 and 8 for this study because it did not report risk-factor analyses.
Weber 1987,unclear,no,yes,yes,yes,yes,review_not_assessed,review_not_assessed,False,Mulder 2019 did not assess criteria 7 and 8 for this study because it did not report risk-factor analyses.
